автор заявки;артикул;наименование;ГРП;цена справочная закупочная с ндс;тип цены в реализации (БРТ5 и тп);цена реализации;расхождение;количество;Покупка;Продажа;дата;Клиент;Куратор клиента;Направление;Город;Куратор поставщик товара;Поставщик;Сделано с сайта;Код товара;Процент скидки;Код контрагента;Филиал;Куратор Торгового Отдела;Бренд;Вид номенклауры;Способ получения заказа;артикул архивный;Наименование товара новое;Категория 1;Категория 2;Категория 3;Категория 4;Код бренда;Код поставщика;Код группы;Номер Реализации;Отклонение от РРЦ;РРЦ;Склад;Код склада;"Единица измерения";Вес;Акция - Скидка(наценка);Акция - Сумма скидки
Татаринцев Никита;10057008ASP;"Прокладка крышки клапанной для а/м ВАЗ 1117-19; 2108-099; 2110-12; 2113-2115;2170-72; 2190-91, со вт";A-sport;;;;;4;63,22;82,06;25.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Богданов Виталий;;Да;10057008;;П0006744;Москва;;A-Sport;Прокладки;Эл. почта;2108-1003270/77синA-sport;"Прокладка крышки клапанной для а/м ВАЗ 1117-19; 2108-099; 2110-12; 2113-2115;2170-72; 2190-94, со втулками, 2 шт. + 1 шт., силикон, синий";Двигатель;Основные элементы двигателя;Блок цилиндров и головка блока;Прокладка крышки клапанной;123;;00034811;0000254022;0,00;;Дальний;00007;компл;0,22;;
Туртаева Анастасия;10057008ASP;"Прокладка крышки клапанной для а/м ВАЗ 1117-19; 2108-099; 2110-12; 2113-2115;2170-72; 2190-91, со вт";A-sport;;;;;14;63,22;82,06;25.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Богданов Виталий;;Нет;10057008;;П0006744;Москва;;A-Sport;Прокладки;Эл. почта;2108-1003270/77синA-sport;"Прокладка крышки клапанной для а/м ВАЗ 1117-19; 2108-099; 2110-12; 2113-2115;2170-72; 2190-94, со втулками, 2 шт. + 1 шт., силикон, синий";Двигатель;Основные элементы двигателя;Блок цилиндров и головка блока;Прокладка крышки клапанной;123;;00034811;0000254023;0,00;;Дальний;00007;компл;0,77;;
Татаринцев Никита;10057008ASP;"Прокладка крышки клапанной для а/м ВАЗ 1117-19; 2108-099; 2110-12; 2113-2115;2170-72; 2190-91, со вт";A-sport;;;;;5;63,22;82,06;25.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Богданов Виталий;;Да;10057008;;П0006744;Москва;;A-Sport;Прокладки;Эл. почта;2108-1003270/77синA-sport;"Прокладка крышки клапанной для а/м ВАЗ 1117-19; 2108-099; 2110-12; 2113-2115;2170-72; 2190-94, со втулками, 2 шт. + 1 шт., силикон, синий";Двигатель;Основные элементы двигателя;Блок цилиндров и головка блока;Прокладка крышки клапанной;123;;00034811;0000254478;0,00;;Дальний;00007;компл;0,275;;
Туртаева Анастасия;00027665ALT;Кольца форсунок СЕРЕБРИСТЫЕ для а/м ВАЗ-2112 (АЛЬТЕРНАТИВНЫЕ ПРОИЗВОДИТЕЛИ);Alt Балаково;;;;;6;35,21;46,82;25.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Шемякова Кристина;;Нет;00027665;;П0006744;Москва;;ALT Балаково;Кольца;Эл. почта;2111-1132188(из 8-ми)УСALT;"Кольцо уплотнительное форсунки для а/м ВАЗ 2108-099; 2110-2112; 2113-15, компл. 8 шт., Серебристый";Двигатель;Система питания и подачи топлива;Топливопровод двигателя, дроссель с датчиком положения воздушной заслонки, регулятор холостого хода, электромагнитные форсунки, шланги вентиляции карт;Кольцо уплотнительное форсунки;3 704;;10186148;0000254023;0,00;;Кооп;00003;компл;0,078;;
Татаринцев Никита;10038137ASP;Прокладка коллектора впускного для а/м ВАЗ 2112, старого образца, компл. 5 шт., силикон, красн.;A-sport;;;;;5;81,32;131,91;26.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Шакирова Диляра;;Да;10038137;;П0006744;Москва;;A-Sport;Прокладки;Эл. почта;РКРЕСИВЕРА ПРОК.УA-sport;;;;;;123;;00034811;0000255021;0,00;;Дальний;00007;компл;0,16;;
Татаринцев Никита;1126;опора передней стойки голая 1118 КАЛИНА  ЭКСПЕРТ(1126);СЭВИ;;;;;2;447,58;500,39;26.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Шабалин Александр;АТР-Холдинг ООО г.Балаково;Да;00034471;;П0006744;Москва;;Сэви;Опора передней стойки;Эл. почта;1118-2902820ЭКСПЕРТSEVI;Опора передней стойки для а/м ВАЗ 1117-19 Калина, верхний, уп 1 шт., без подшипника, СЭВИ-ЭКСПЕРТ;Ходовая часть;Подвеска;Подвеска передняя;Опора передней стойки;38;П0000131;00007692;0000255021;24,82;525,21;Кооп;00003;шт;1,524;;
Татаринцев Никита;10036563ASP;"Опора двигателя для а/м ВАЗ 2110-12; 2170-72 Приора,, (штанга), в сборе, задн., Алюминий";A-sport;;;;;1;354,07;435,88;27.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Мирзоева Анна;;Да;10036563;;П0006744;Москва;;A-Sport;Подушки;Эл. почта;2112-1001300A-SPORT;"Опора двигателя для а/м ВАЗ 2110-12; 2113-15; 2170-72 Приора, в сборе, задн., алюминий";Двигатель;Элементы крепления двигателя;Опора двигателя;;123;;00034811;0000255608;0,00;;Кооп;00003;компл;0,62;;
Татаринцев Никита;2108-3501058;Пыльник суппорта большой 2108-3501058 ДЛЯ СБОРКИ НА ЗАВОД;ФРЕГ;;;;;6;9,77;15,71;27.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Мирзоева Анна;Новиков Николай Анатольевич ИП г.Балаково;Да;10037279;;П0006744;Москва;;Балаково;Пыльники;Эл. почта;2108-3501058QCF.;;;;;;13;П0000114;00007647;0000255608;0,00;;Кооп;00003;шт;0,042;;
Татаринцев Никита;TRST-106;"Наконечники рулевой трапеции в сборе комплект 2110 ""КЛАССИКА""";ТРЕК;;;;;1;1027,48;1140,50;27.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Калялин Антон;ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ТРЕК НАО г. Миасс;Да;10039193;;П0006744;Москва;;Трек;;Эл. почта;TRST-106;"Наконечник тяги трапеции рулевой для а/м ВАЗ 2110-12; 2170-72 Приора; 2190-94 Гранта Kalina II, наружн, компл. 2 шт., в сборе, лев, прав, Классика";Механизмы управления;Управление рулевое;Элементы рулевого механизма;Наконечник тяги трапеции рулевой;80;П0004243;10039181;0000255608;0,00;;Железо;00010;компл;0,975;;
Татаринцев Никита;5103;опора двигателя задняя 2108  СЭВИ-ЭКСПЕРТ(5103);СЭВИ;;;;;1;615,05;687,62;27.06.24;АвтоТо, ООО Трейдинг Транзит ООО г.Москва;Татаринцев Никита;Дзержинский;Люберцы;Шабалин Александр;АТР-Холдинг ООО г.Балаково;Да;00015936;;П0006744;Москва;;Сэви;Подушки;Эл. почта;2108-1001031SEVI;"Опора (подушка) двигателя для а/м ВАЗ 2108-099; 2113-15, задн., СЭВИ-ЭКСПЕРТ";Двигатель;Элементы крепления двигателя;Опора (подушка) двигателя;;38;П0000131;00007692;0000255608;34,12;721,74;Кооп;00003;шт;1,093;;
